date,fund,return,growth_of_1,drawdown
2020-11-13,Combined Equal Weight,0.01862610368674965,1.1379556616546624,0.0
2020-11-16,Combined Equal Weight,0.024236173757029425,1.16553535279832,0.0
2020-11-17,Combined Equal Weight,0.008038969752782722,1.1749050562452648,0.0
2020-11-18,Combined Equal Weight,-0.01139320166848849,1.1615191259981357,-0.01139320166848845
2020-11-19,Combined Equal Weight,0.004225093934530301,1.1664266534122314,-0.007216245081222539
2020-11-20,Combined Equal Weight,0.004834314224144686,1.1720655263742437,-0.0024168164533189262
2020-11-23,Combined Equal Weight,0.03411361635096757,1.2120489200791695,0.0
2020-11-24,Combined Equal Weight,0.033796936879885255,1.2530124609264182,0.0
2020-11-25,Combined Equal Weight,-0.010371739918027147,1.240016541567642,-0.0103717399180272
2020-11-27,Combined Equal Weight,0.0037616546667439722,1.2446810555780699,-0.00664910015514808
2020-11-30,Combined Equal Weight,0.0042929422783999915,1.2500243995046845,-0.002384702079917478
2020-12-01,Combined Equal Weight,-0.00563717954397364,1.2429777875303287,-0.008008438630107695
2020-12-02,Combined Equal Weight,0.009232508830180144,1.2544535909294203,0.0
2020-12-03,Combined Equal Weight,0.00399143718578927,1.259460663640103,0.0
2020-12-04,Combined Equal Weight,-0.0018283293279251094,1.2571579547714018,-0.0018283293279249824
2020-12-07,Combined Equal Weight,-0.006331111249238867,1.2491987479018785,-0.008147865220788586
2020-12-08,Combined Equal Weight,-0.00850925131246201,1.2385690018167685,-0.016587784300426733
2020-12-09,Combined Equal Weight,0.00504778837377899,1.2448210360242622,-0.011623727551386298
2020-12-10,Combined Equal Weight,-0.002755502207944769,1.2413909289110012,-0.014347200552398687
2020-12-11,Combined Equal Weight,-0.005015486830011589,1.2351647490561521,-0.01929072918699226
2020-12-14,Combined Equal Weight,-0.007469388706415235,1.2259388234289899,-0.026616027938679676
2020-12-15,Combined Equal Weight,0.010243416045665704,1.2384966248439069,-0.01664525094067293
2020-12-16,Combined Equal Weight,0.015932663669500722,1.2582291750233567,-0.0009777904561043549
2020-12-17,Combined Equal Weight,0.004602957119297243,1.2640207499622378,0.0
2020-12-18,Combined Equal Weight,-0.0030863082346740656,1.2601195923128305,-0.003086308234673929
2020-12-21,Combined Equal Weight,-0.014051902479423698,1.2424125146892395,-0.017094842211762606
2020-12-22,Combined Equal Weight,-0.005324024680353888,1.2357978797978535,-0.022327853530274333
2020-12-23,Combined Equal Weight,-0.02454307088798517,1.205467604830753,-0.04632293032628931
2020-12-24,Combined Equal Weight,0.02339827714264954,1.2336734699350689,-0.024008529945473978
2020-12-28,Combined Equal Weight,0.005647384266620701,1.2406404980793275,-0.0184967310731321
2020-12-29,Combined Equal Weight,-0.0038926817688898037,1.2358110794307078,-0.022317410954189487
2020-12-30,Combined Equal Weight,0.004463310351515676,1.2413268878140487,-0.017953710134004597
2020-12-31,Combined Equal Weight,0.00457258617671867,1.2470029619820564,-0.013463218844065539
2021-01-04,Combined Equal Weight,-0.0038907547941801576,1.242151179229368,-0.017301591554982898
2021-01-05,Combined Equal Weight,0.01812037653999204,1.2646594263165993,0.0
2021-01-06,Combined Equal Weight,0.040182477161079845,1.3154765748311106,0.0
2021-01-07,Combined Equal Weight,0.010143704534638191,1.3288203805284353,0.0
2021-01-08,Combined Equal Weight,0.001220860711885404,1.330442685124175,0.0
2021-01-11,Combined Equal Weight,-0.02152422578249631,1.3018059363788916,-0.021524225782496353
2021-01-12,Combined Equal Weight,-0.0006109898860971223,1.301010546118103,-0.0221220645843343
2021-01-13,Combined Equal Weight,0.013803567861465397,1.3189691334799263,-0.00862386014259453
2021-01-14,Combined Equal Weight,0.005860779073975743,1.3266993201766453,-0.0028136236076794496
2021-01-15,Combined Equal Weight,-0.015495323336940953,1.3061416852396084,-0.01826534893707099
2021-01-19,Combined Equal Weight,0.007634480717274238,1.316113398749598,-0.010770314674051207
2021-01-20,Combined Equal Weight,0.005661901921990957,1.3235651037315366,-0.005169393217413609
2021-01-21,Combined Equal Weight,-0.02779127793435051,1.286781538069526,-0.03281700710810709
2021-01-22,Combined Equal Weight,0.007759507727108146,1.2967663293572766,-0.02531214320123476
2021-01-25,Combined Equal Weight,-0.0020777196750773348,1.2940720124407932,-0.02733727133836461
2021-01-26,Combined Equal Weight,-0.004617090510871493,1.2880971648317685,-0.03182814319314653
2021-01-27,Combined Equal Weight,-0.03390197079643124,1.2444281323666762,-0.06465107720853891
2021-01-28,Combined Equal Weight,0.024511344724528247,1.2749307393040166,-0.04172441732428134
2021-01-29,Combined Equal Weight,-0.0076170751428229,1.2652194960608432,-0.04902367444505462
2021-02-01,Combined Equal Weight,0.010204431715737181,1.2781303420138155,-0.03931950146764651
2021-02-02,Combined Equal Weight,0.0214035617840536,1.3054868837571816,-0.018757517062574003
2021-02-03,Combined Equal Weight,0.009427809957152509,1.3177947659987996,-0.009506549411555376
2021-02-04,Combined Equal Weight,0.004677017929212064,1.323958115746398,-0.0048739937843860215
2021-02-05,Combined Equal Weight,0.01929836944865081,1.3495083485986117,0.0
2021-02-08,Combined Equal Weight,0.024349974909302272,1.382368843026882,0.0
2021-02-09,Combined Equal Weight,0.008633479616969735,1.3943034962562886,0.0
2021-02-10,Combined Equal Weight,0.008348949512855613,1.4059444657521305,0.0
2021-02-11,Combined Equal Weight,0.012119537999230361,1.422983863129621,0.0
2021-02-12,Combined Equal Weight,0.012771234706878482,1.44115712402975,0.0
2021-02-16,Combined Equal Weight,8.878331594455713e-05,1.4412850747380186,0.0
2021-02-17,Combined Equal Weight,0.009077872795865008,1.454368877309069,0.0
2021-02-18,Combined Equal Weight,-0.004446512107421032,1.4479020084874579,-0.004446512107421086
2021-02-19,Combined Equal Weight,0.00908485215560188,1.4610559841703656,0.0
2021-02-22,Combined Equal Weight,-0.008683328312674092,1.4483691553766174,-0.008683328312673932
2021-02-23,Combined Equal Weight,-0.026107713165073612,1.4105555489109047,-0.03456433963284211
2021-02-24,Combined Equal Weight,0.018758703010906316,1.4370157415333102,-0.016454018803876425
2021-02-25,Combined Equal Weight,-0.02413005959171149,1.402340466055884,-0.04018704194132727
