trading_date,ticker,sector,article_count,text,word_count
2020-02-20,DIS,Consumer,7,"Baby Yoda Toys Finally Arrive Next Month | Dow Jones News: Disney Down on Six Flags Disaster; Intel Leads Dow Lower | General American Investors Co Inc Buys Boeing Co, Booking Holdings Inc, World Wrestling ... | Noteworthy ETF Outflows: PRF, BAC, DIS, F | So Far, Apple Is Losing the Streaming War | Subscription Overload: Are You Paying for Too Many Streaming Services? | Trade of the Day: A Bullish Trade Setup in Disney Stock",76
2020-02-20,KO,Consumer,4,"Coca-Cola Raises Quarterly Dividend From $0.40 To $0.41/Share | Dow Analyst Moves: KO | Notable ETF Inflow Detected - USMV, NEM, NEE, KO | PepsiCo Breaks Down Its Best Year Since 2015",32
2020-02-20,NKE,Consumer,1,"QUAL, PEP, NKE, MMM: ETF Inflow Alert",7
2020-02-20,SBUX,Consumer,1,"How Shaquille O'Neal Negotiates, Picks His Portfolio",7
2020-02-20,WMT,Consumer,5,"Consumer Sector Update for 02/20/2020: DPZ, SIX, LB, WMT, MCD, DIS, CVS, KO | Is Kimco Realty Stock a Buy? | Price Matters for Plug Power Stock | Walmart Adds to a Streak That's Great for Retirement Portfolios | Walmart Gets Caught in the Late 2019 Retail Slowdown",48
2020-02-20,CVX,Energy,2,"Energy Sector Update for 02/20/2020: NE, CVI, TS, XOM, CVX, COP, SLB, OXY | Why Chevron's Stock Looks Attractive",19
2020-02-20,OXY,Energy,4,Devon (DVN) to Reward Shareholders With 22% Dividend Hike | One of Your Stock Investments is Being Acquired: Now What? | T. Rowe Price Equity Income Fund Comments on Occidental Petroleum | T. Rowe Price Equity Income Fund's —…–9 Annual Shareholder Letter,42
2020-02-20,XOM,Energy,2,"Energy Sector Update for 02/20/2020: NE, CVI, TS, XOM, CVX, COP, SLB, OXY | Why Chevron's Stock Looks Attractive",19
2020-02-20,GS,Financials,4,"Dow Movers: INTC, DOW | Validea John Neff Strategy Daily Upgrade Report - 2/20/2020 | Validea Peter Lynch Strategy Daily Upgrade Report - 2/20/2020 | Why Did Buffett Sell Shares of These 8 Stocks in the Fourth Quarter?",38
2020-02-20,MS,Financials,36,"2 Stocks That Trounced the Market on Thursday | 7 Financial Services Stocks Moving In Thursday's Pre-Market Session | Benzinga Pros' Top 5 Stocks To Watch For Thurs., Feb. 20, 2020: MS, LB, DPZ, BBI, NCLH | Buckingham Research Reiterates Buy, $68 Target On Morgan Stanley As Firm Believes Co's Etrade Acquisition 'is an attractive deal for MS'; Notes 'It immediately makes MS a top 3 player across all three major wealth mgmt. channels' | CFRA Maintains Hold On Morgan Stanley As Firm Notes 'In our view, MS is opportunistic with the ETFC purchase as we see consolidation in the wealth management industry' | Daily Markets: Morgan Stanley (MS) to Buy E-Trade for $13 Billion | E*TRADE CEO Says Buying Co. Will 'Meaningfully Accelerate' Morgan Stanley's Efforts To Build A Digital Bank | E*TRADE Shares Halted For News Dissemination | Financial Sector Update for 02/20/2020: ACRE,ETFC,MS,Z,ZG,FOCS | Financial Sector Update for 02/20/2020: ETFC,MS,Z,ZG,FOCS | Hearing Wells Fargo Downgrades Morgan Stanley | Mid-Afternoon Market Update: Tivity Health Tumbles Following Downbeat Q4 Results; Adesto Technologies Shares Climb | Mid-Day Market Update: Dow Falls Over 250 Points; Stamps.com Shares Jump After Q4 Results | Mid-Morning Market Update: Markets Edge Higher; Morgan Stanley To Buy E*Trade Financial For $13 Billion | More Consolidation In The Brokerage Space: PreMarket Prep Recap For Feb. 20, 2020 | Morgan Stanley Acquisition Conference Call At 8:30 AM ET | Morgan Stanley CEO, Currently Interviewing On CNBC, When Asked About Dilution And Price Response (MS Shares Down 4% Thurs) Following E*TRADE Deal News, Says Stock Will Bounce Back | Morgan Stanley CFO Believes E*TRADE Deal Will Be Viewed Favorably By US Regulators | Morgan Stanley CFO Says Deal With E*TRADE Will Allow Bank To Save $18B Of Wholesale Funding Costs | Morgan Stanley CFO Says Sees 10% Stock Dilution Related To E*TRADE Deal | Morgan Stanley CFO Sees Deal With E*TRADE Closing In Q4'20 | Morgan Stanley CFO Sees No Disruption For E*TRADE Customers And Bank Financial Advisors Stemming From Deal | Morgan Stanley Shares Down 3% Following News It Will Purchase E*TRADE | Morgan Stanley To Acquire E*TRADE In $13 Bln All-stock Deal - Quick Facts | Morgan Stanley To Buy E*TRADE At $58.74/Share, Or $13B | Morgan Stanley To Buy E*TRADE For $13B, $58.74/Share | Morgan Stanley To Buy E*Trade For $13B | Morgan Stanley shares are trading lower after the company announced it will acquire E-Trade for $13 billion. | Notable Thursday Option Activity: ALB, MS, MSFT | Stock Market News: Morgan Stanley Scoops Up E*Trade; Stamps.com Mounts Massive Comeback | TD Ameritrade Shares Down 1.9% Following Rumor Morgan Stanley Could Buy E*TRADE; Schwab Shares Down 1.5%, Interactive Brokers Shares Up 0.5% | Tim Seymour, Currently Interviewing On Benzinga's PreMarket Prep Morning Trader Show, Comments On Morgan Stanley, E*TRADE Deal, Says Deal Makes Sense But 'There Is An Element Of This Deal That Feels Market Toppy' | UPDATE: 'Morgan Stanley Is Buying E*Trade, Betting on Littler Customers' -WSJ/DJ | Why E*Trade Financial Stock Jumped More Than 20% Today | Why Morgan Stanley's E*TRADE Buyout 'Makes Strategic Sense' | Why Virgin Galactic Holdings Inc's Shares Plunged 18.2% Today",521
